時間區間:20130701~20140630,,,,,,
打*為參考Geo-Spotting: Mining Online Location-based Services for Optimal Retail Store Placement所取之feature,,,,,,
資料類型: (a)日期劃分 (b)將0000~2400劃分成6個時區 (c) 將紐約市劃分成1km*1km的方格(去掉staten island)去計算發生次數 (d)純數值 (e)取時區平均值,,,,,,
欄位,解釋,資料劃分方式,,,,
NoiseDense,在特定時間特定地點的噪音抱怨數量,(a)(b)(c),,,,
dateStr,日期,(a),,,,
m,紐約市方格row,(d),,,,
n,紐約市方格column,(d),,,,
*POIDense,POI密度,(c),,,,
*POIEntropy,POI Entropy,(c),,,,
*BikeDense,腳踏車密度,(c),,,,
BikeRentFeature,在時間區間內每個腳踏車租借站半徑一公里內有多少腳踏車正在被租借,(a)(b)+BikeID,,,,
*POIBikeQuality,POI跟Bike的互動品質,(d),,,,
dailyCheckOutfeature,在四小時內腳踏車租車數量,(a)(b)(c),,,,
dailyCheckInfeature,在四小時內腳踏車還車數量,(a)(b)(c),,,,
PressureFeature,氣壓(millibars),(a)(b)(e),,,,
RHFeature,相對濕度(Percent relative humidity),(a)(b)(e),,,,
WindSpeedFeature,風速(miles per hour),(a)(b)(e),,,,
WindDirectFeature,風向(Degrees Compass),(a)(b)(e),,,,
TempFreature,溫度(Degrees Fahrenheit),(a)(b)(e),,,,
PM2_5Freature,PM2.5(Micrograms/cubic meter (LC)),(a)(b)(e),,,,
PM10Freature,PM10(Micrograms/cubic meter (25 C)),(a)(b)(e),,,,
PrecipFeature,降雨(inch),(a)(b)(e),,,,
*checkInPopFeature,打卡數量,(a)(b)(c),,,,
*checkInTransitDense,打卡轉移密度,(c),,,,
*checkInIncomingFlow,計算匯入某地的打卡人潮,(c),,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,